processed_frame,raw_image_index,vel_norm,imu_sample_count,imu_span_s,accepted_count,rejected_count,mature_features,clone_count,rejection_reason,P_pos_trace,P_vel_trace,P_bg_trace,P_ba_trace
160,180,0.057831351459716906,6,0.02503824234008789,0,7,7,20,triangulation_failed,145.70956942327825,42.877244844038124,0.00300004062605017,0.03000016250420107
161,181,0.05866281985528144,7,0.030046701431274414,0,1,1,20,triangulation_failed,151.3174133086576,43.97877735956837,0.0030000408889567214,0.030000163555827276
162,182,0.059384678941067706,7,0.030046701431274414,0,0,0,20,,157.1047349653909,45.1021656304981,0.003000041151859696,0.030000164607439185
163,183,0.05977782583186282,6,0.025038480758666992,0,4,4,20,triangulation_failed,162.21166581189988,46.0817136714301,0.0030000413772045924,0.03000016550881877
164,184,0.06043718493168101,7,0.03004598617553711,0,3,3,20,triangulation_failed,168.34477755898524,47.24419768699985,0.003000041640112932,0.03000016656045213
165,185,0.06131511562956986,7,0.030046939849853516,0,7,7,20,triangulation_failed,174.67069761394282,48.42851530484922,0.003000041903019483,0.030000167612078337
166,186,0.06216526240878835,6,0.025038719177246094,0,3,3,20,triangulation_failed,180.25023394158453,49.46165523044065,0.0030000421283733203,0.030000168513493686
167,187,0.06302099381122397,7,0.030028820037841797,0,1,1,20,triangulation_failed,186.9438189904168,50.6875699804614,0.003000042391145762,0.030000169564583443
168,188,0.0631969376790438,7,0.030021190643310547,0,0,0,20,,193.84190579506176,51.93498662619299,0.0030000426538341614,0.03000017061533703
169,189,0.06306532669077028,6,0.025017976760864258,0,1,1,20,triangulation_failed,199.92294668082653,53.023878223007195,0.003000042878998456,0.03000017151599421
170,190,0.06411547470651476,7,0.03002166748046875,0,6,6,20,triangulation_failed,207.2182957025621,54.31499128019222,0.003000043141683279,0.030000172566733502
171,191,0.06510830757675763,7,0.03002166748046875,0,68,68,20,triangulation_failed,214.73509999386022,55.628957245550694,0.003000043404369889,0.030000173617479947
172,192,0.0642241387555513,6,0.025017261505126953,0,69,69,20,triangulation_failed,221.358184542689,56.778215241662444,0.003000043629523455,0.030000174518094204
173,193,0.062259646575834784,7,0.03002142906188965,0,20,20,20,triangulation_failed,229.30056818575196,58.13508342157935,0.0030000438922082777,0.03000017556883349
174,194,0.0666177569057628,7,0.030021190643310547,0,10,10,20,triangulation_failed,237.47970725223408,59.52818138203029,0.003000044154891312,0.03000017661956563
175,195,0.06959514879217406,6,0.025017499923706055,0,3,3,20,triangulation_failed,244.68327661007226,60.725998137850006,0.0030000443800448774,0.030000177520179888
176,196,0.062143902828110116,7,0.030020475387573242,0,0,0,20,,253.31789284777446,62.15762218584129,0.0030000446427279116,0.03000017857091203
177,197,0.05143891223207169,7,0.03002023696899414,0,13,13,20,triangulation_failed,262.2063005563705,63.609556717420425,0.0030000449054091577,0.030000179621637015
178,198,0.050932956796251525,6,0.02501702308654785,0,4,4,20,triangulation_failed,270.0313489006216,64.91064088904612,0.003000045130566299,0.030000180522265586
179,199,0.0722525402523489,7,0.030020952224731445,0,59,59,20,triangulation_failed,279.4117254661267,66.52949808958772,0.003000045393245757,0.030000181572983415
180,200,0.12405836278603832,7,0.030021190643310547,0,7,7,20,triangulation_failed,289.07164286767073,68.19601157935345,0.0030000456559270026,0.030000182623708398
181,201,0.1778314579544205,6,0.02501678466796875,0,35,35,20,triangulation_failed,297.5839563882724,69.77360201260926,0.0030000458810734154,0.030000183524294052
182,202,0.21710310464254326,7,0.030019760131835938,0,6,6,20,triangulation_failed,307.79508341210453,71.51795581138695,0.0030000461437528726,0.03000018457501189
183,203,0.2147325743880046,7,0.030020952224731445,0,4,4,20,triangulation_failed,318.30300230704427,73.17868705692585,0.003000046406430542,0.030000185625722577
184,204,0.2558158211386238,6,0.02501654624938965,5,7,12,20,triangulation_failed,2.223130919531003,0.11842440318775974,0.0010449455098837611,0.02082087558351927
185,205,0.24707640466160186,7,0.030019521713256836,0,24,24,20,triangulation_failed,2.240874295034988,0.12101910381956976,0.0010449457725578543,0.020820876634215644
186,206,0.17356618556346293,7,0.030019283294677734,2,9,11,20,triangulation_failed,1.0935873226337722,0.004948463272517701,0.0010250617127833866,0.017031829118801765
187,207,0.16686191238267317,6,0.02501678466796875,11,7,18,20,triangulation_failed,0.9463345328581716,0.0020031929238472383,0.0008361398823642227,0.015655136481765322
188,208,0.14728090371105493,7,0.030019760131835938,0,2,2,20,triangulation_failed,0.9446173478475562,0.0022698346847260576,0.0008361401450347396,0.01565513753244739
189,209,0.1464052520208857,7,0.030020475387573242,0,3,3,20,triangulation_failed,0.9425304521450801,0.002671773460855519,0.0008361404077106211,0.015655138583150915
190,210,0.1390287670717853,6,0.02501654624938965,0,0,0,20,,0.9404481191173479,0.0030909795455901627,0.0008361406328534577,0.015655139483722262
191,211,0.15942400423442335,7,0.03001880645751953,3,1,3,20,batch_rejected,0.9376744627361286,0.003726643288648043,0.0008361408955221864,0.015655140534397177
192,212,0.19226902412872962,7,0.03001880645751953,11,1,11,20,batch_rejected,0.9344881003081374,0.004526028170350822,0.0008361411581927034,0.015655141585079246
193,213,0.21668257569086324,6,0.025016069412231445,10,9,19,20,triangulation_failed,0.41697139378339465,0.001881932762753549,0.0006536576952354895,0.011833271716118952
194,214,0.22466264021181925,7,0.030019760131835938,6,6,12,20,triangulation_failed,0.29814238152536693,0.0013367875157899826,0.0002838076262748343,0.010847053373790128
195,215,0.22513343322299423,7,0.03001880645751953,6,10,16,20,triangulation_failed,0.22392027472993373,0.0009658924158628754,0.00024475872545789496,0.009905504558423397
196,216,0.20420416777379055,6,0.025015830993652344,4,2,6,20,triangulation_failed,0.21220189991768568,0.0008972727909225476,0.00023110776464507464,0.00982530367752157
197,217,0.14741611106357422,7,0.030025005340576172,5,3,8,20,triangulation_failed,0.1927038159548728,0.0007310766105531314,0.0001954937013902573,0.009590230136273432
198,218,0.11809428135943927,7,0.030026912689208984,14,6,20,20,triangulation_failed,0.1673761596484337,0.0005748289035400183,0.0001278566305769081,0.009388476006883572
199,219,0.16908783132329,6,0.025049924850463867,4,1,5,20,triangulation_failed,0.14732919149911486,0.0005531130340305524,0.00011802526441585723,0.009158382842588766
200,220,0.23255114565764343,7,0.030082225799560547,2,0,2,20,,0.13948261370268403,0.000656727485487516,0.00011164402269477387,0.009078965545118054
